E번호,단어(Word),출현횟수(Count),절수(Verses),뜻(Meaning),구절주소(References)
E00001,a,8282,6307,,"Gen 1:6; Gen 1:29; Gen 2:5; Gen 2:6; Gen 2:7; Gen 2:8; Gen 2:10; Gen 2:21; Gen 2:22; Gen 2:24; Gen 3:6; Gen 3:24; Gen 4:1; Gen 4:2; Gen 4:12; Gen 4:14; Gen 4:15; Gen 4:17; Gen 4:23; Gen 4:25; Gen 4:26; Gen 5:3; Gen 5:28; Gen 6:9; Gen 6:16; Gen 6:17; Gen 8:1; Gen 8:7; Gen 8:8; Gen 8:21; Gen 9:11; Gen 9:13; Gen 9:14; Gen 9:15; Gen 9:20; Gen 9:23; Gen 9:25; Gen 10:8; Gen 10:9; Gen 10:12; Gen 10:30; Gen 11:2; Gen 11:4; Gen 12:1; Gen 12:2; Gen 12:8; Gen 12:10; Gen 12:11; Gen 13:7; Gen 13:16; Gen 14:23; Gen 15:1; Gen 15:9; Gen 15:12; Gen 15:13; Gen 15:15; Gen 15:17; Gen 15:18; Gen 16:7; Gen 16:11; Gen 16:12; Gen 16:15; Gen 17:4; Gen 17:5; Gen 17:7; Gen 17:8; Gen 17:11; Gen 17:16; Gen 17:17; Gen 17:19; Gen 17:20; Gen 18:4; Gen 18:5; Gen 18:7; Gen 18:10; Gen 18:13; Gen 18:14; Gen 18:18; Gen 19:3; Gen 19:9; Gen 19:20; Gen 19:26; Gen 19:28; Gen 19:30; Gen 19:31; Gen 19:37; Gen 19:38; Gen 20:3; Gen 20:4; Gen 20:6; Gen 20:7; Gen 20:9; Gen 20:16; Gen 21:2; Gen 21:7; Gen 21:8; Gen 21:13; Gen 21:14; Gen 21:16; Gen 21:18"
E00002,aaron,350,331,,"Exo 4:14; Exo 4:27; Exo 4:28; Exo 4:29; Exo 4:30; Exo 5:1; Exo 5:4; Exo 5:20; Exo 6:13; Exo 6:20; Exo 6:23; Exo 6:25; Exo 6:26; Exo 6:27; Exo 7:1; Exo 7:2; Exo 7:6; Exo 7:7; Exo 7:8; Exo 7:9; Exo 7:10; Exo 7:12; Exo 7:19; Exo 7:20; Exo 8:5; Exo 8:6; Exo 8:8; Exo 8:12; Exo 8:16; Exo 8:17; Exo 8:25; Exo 9:8; Exo 9:27; Exo 10:3; Exo 10:8; Exo 10:16; Exo 11:10; Exo 12:1; Exo 12:28; Exo 12:31; Exo 12:43; Exo 12:50; Exo 15:20; Exo 16:2; Exo 16:6; Exo 16:9; Exo 16:10; Exo 16:33; Exo 16:34; Exo 17:10; Exo 17:12; Exo 18:12; Exo 19:24; Exo 24:1; Exo 24:9; Exo 24:14; Exo 27:21; Exo 28:1; Exo 28:2; Exo 28:3; Exo 28:4; Exo 28:12; Exo 28:29; Exo 28:30; Exo 28:35; Exo 28:38; Exo 28:40; Exo 28:41; Exo 28:43; Exo 29:4; Exo 29:5; Exo 29:9; Exo 29:10; Exo 29:15; Exo 29:19; Exo 29:20; Exo 29:21; Exo 29:24; Exo 29:26; Exo 29:27; Exo 29:28; Exo 29:29; Exo 29:32; Exo 29:35; Exo 29:44; Exo 30:7; Exo 30:8; Exo 30:10; Exo 30:19; Exo 30:30; Exo 31:10; Exo 32:1; Exo 32:2; Exo 32:3; Exo 32:5; Exo 32:21; Exo 32:22; Exo 32:25; Exo 32:35; Exo 34:30"
E00003,aaronites,2,2,,"1Ch 12:27; 1Ch 27:17"
E00004,abaddon,1,1,,"Rev 9:11"
E00005,abagtha,1,1,,"Est 1:10"
E00006,abana,1,1,,"2Ki 5:12"
E00007,abarim,4,4,,"Num 27:12; Num 33:47; Num 33:48; Deu 32:49"
E00008,abase,4,4,,"Job 40:11; Isa 31:4; Eze 21:26; Dan 4:37"
E00009,abased,4,4,,"Mat 23:12; Luk 14:11; Luk 18:14; Phi 4:12"
E00010,abasing,1,1,,"2Co 11:7"
